"V1" "V2" "V3" "V4" "V5" "covar"
"154" 1 0 0 0 0 0
"155" 0 0 0 0 1 0
"156" 1 0 0 0 1 1
"157" 0 0 0 1 0 0
"158" 0 0 1 1 1 1
"159" 0 1 0 0 1 1
"160" 0 1 0 0 1 1
"161" 1 0 0 1 0 1
"162" 0 0 0 0 0 0
"163" 1 1 0 0 1 1
"164" 0 0 1 0 1 1
"165" 0 0 0 0 1 0
"166" 1 1 0 0 1 1
"167" 0 1 0 0 0 0
"168" 0 0 0 1 1 1
"169" 0 0 0 1 0 0
"170" 0 0 0 1 0 0
"171" 0 0 1 0 0 0
"172" 1 0 0 0 0 0
"173" 1 0 0 0 1 1
"174" 0 0 0 0 0 0
"175" 0 0 0 0 1 0
"176" 1 1 0 0 0 1
"177" 0 0 0 0 0 0
"178" 1 1 1 1 1 1
"179" 1 0 1 1 1 1
"180" 1 1 0 0 1 1
"181" 0 1 0 0 0 0
"182" 1 0 0 0 0 0
"183" 1 0 0 0 0 0
"184" 0 0 0 0 1 0
"185" 0 0 0 1 1 1
"186" 0 0 0 0 0 0
"187" 1 0 0 0 1 1
"188" 1 0 0 0 0 0
"189" 1 0 1 0 1 1
"190" 0 0 0 0 0 0
"191" 0 0 0 1 0 0
"192" 0 1 0 1 0 1
"193" 1 0 0 0 1 1
"194" 1 0 0 1 0 1
"195" 0 0 0 1 0 0
"196" 1 0 0 0 0 0
"197" 0 1 1 0 0 1
"198" 1 1 0 0 1 1
"199" 0 0 0 0 1 0
"200" 0 1 0 1 0 1
"201" 1 0 0 0 1 1
"202" 1 0 0 0 1 1
"203" 1 0 0 0 1 1
"204" 1 1 0 0 0 1
"205" 0 0 0 1 1 1
"206" 0 1 0 0 0 0
"207" 0 0 1 1 1 1
"208" 0 0 0 0 0 0
"209" 0 0 0 0 1 0
"210" 0 0 1 0 1 1
"211" 1 0 0 1 1 1
"212" 1 0 0 0 0 0
"213" 0 1 0 0 1 1
"214" 0 0 0 0 0 0
"215" 1 0 1 0 1 1
"216" 1 0 0 0 0 0
"217" 0 0 0 1 0 0
"218" 1 0 0 1 1 1
"219" 1 0 0 0 1 1
"220" 1 0 0 0 1 1
"221" 0 0 0 0 0 0
"222" 0 0 0 1 0 0
"223" 1 0 0 0 0 0
"224" 1 0 0 0 1 1
"225" 0 0 0 1 1 1
"226" 0 0 1 0 1 1
"227" 0 0 0 0 0 0
"228" 0 1 0 0 1 1
"229" 1 1 0 0 0 1
"230" 1 0 0 0 0 0
"231" 0 0 0 0 1 0
"232" 0 1 0 1 0 1
"233" 0 0 0 0 0 0
"234" 0 0 0 0 1 0
"235" 0 0 0 1 1 1
"236" 1 1 0 1 1 1
"237" 0 0 0 1 1 1
"238" 1 1 1 0 1 1
"239" 0 0 0 0 1 0
"240" 1 1 0 0 0 1
"241" 1 0 0 0 1 1
"242" 1 0 1 1 1 1
"243" 1 0 0 1 0 1
"244" 0 1 0 1 1 1
"245" 1 0 0 0 1 1
"246" 1 0 0 0 0 0
"247" 0 1 0 0 1 1
"248" 1 0 0 0 1 1
"249" 0 0 0 1 0 0
"250" 1 0 0 0 1 1
"251" 1 1 0 0 1 1
"252" 0 0 0 0 0 0
"253" 0 0 0 0 0 0
"254" 0 1 0 1 0 1
"255" 1 0 0 1 1 1
"256" 0 1 0 0 0 0
"257" 1 0 0 0 0 0
"258" 0 0 0 0 1 0
"259" 1 0 0 0 0 0
"260" 1 0 1 0 0 1
"261" 1 1 0 1 1 1
"262" 1 0 0 1 1 1
"263" 0 0 0 0 1 0
"264" 1 0 0 1 0 1
"265" 0 0 0 0 0 0
"266" 1 0 0 0 1 1
"267" 1 0 0 0 0 0
"268" 1 0 1 1 1 1
"269" 1 0 0 1 0 1
"270" 1 0 0 1 0 1
"271" 0 1 0 0 1 1
"272" 0 0 0 0 0 0
"273" 0 0 1 0 1 1
"274" 0 0 0 1 1 1
"275" 1 0 0 0 1 1
"276" 0 0 1 0 1 1
"277" 1 0 0 0 1 1
"278" 0 0 1 1 1 1
"279" 0 0 1 0 1 1
"280" 0 1 0 1 1 1
"281" 1 0 0 0 0 0
"282" 1 0 0 0 0 0
"283" 1 1 0 1 0 1
"284" 0 0 0 0 0 0
"285" 0 0 1 0 0 0
"286" 0 0 0 1 0 0
"287" 0 1 0 0 1 1
"288" 1 0 0 0 1 1
"289" 0 0 0 1 0 0
"290" 0 0 0 0 1 0
"291" 1 1 0 0 0 1
"292" 1 0 0 1 1 1
"293" 0 0 0 0 0 0
"294" 0 0 0 0 0 0
"295" 1 0 0 0 0 0
"296" 1 1 0 0 0 1
"297" 1 1 0 1 1 1
"298" 0 1 0 1 1 1
"299" 1 1 0 1 0 1
"300" 0 1 1 0 1 1
"301" 0 0 0 0 0 0
"302" 1 0 1 0 0 1
"303" 1 0 0 0 1 1
"304" 1 0 0 0 1 1
"305" 1 0 0 1 1 1
"306" 0 0 0 0 0 0
"307" 1 0 0 0 0 0
"308" 1 0 0 1 1 1
"309" 0 0 0 0 0 0
"310" 1 0 0 0 1 1
"311" 0 0 0 0 1 0
"312" 0 0 0 0 1 0
"313" 0 1 0 0 0 0
"314" 0 0 0 1 1 1
"315" 1 0 0 0 0 0
"316" 1 0 0 0 1 1
"317" 0 0 0 0 1 0
"318" 1 1 0 0 0 1
"319" 0 0 0 1 0 0
"320" 0 0 0 0 1 0
"321" 0 0 0 0 0 0
"322" 0 0 0 0 0 0
"323" 0 0 0 0 0 0
"324" 0 0 0 0 0 0
"325" 0 0 0 0 0 0
"326" 0 0 0 0 0 0
"327" 0 0 0 1 1 1
"328" 0 0 0 0 0 0
"329" 1 0 0 1 1 1
"330" 1 1 0 0 0 1
"331" 1 0 1 0 1 1
"332" 1 1 0 1 1 1
"333" 1 0 0 0 1 1
"334" 0 0 0 0 0 0
"335" 0 1 0 0 0 0
"336" 0 0 0 0 1 0
"337" 1 0 0 0 0 0
"338" 0 0 0 0 1 0
"339" 1 1 0 1 1 1
"340" 1 0 0 0 1 1
"341" 1 0 0 0 1 1
"342" 1 0 0 0 0 0
"343" 0 0 0 1 0 0
"344" 0 0 0 0 0 0
"345" 0 0 0 0 0 0
"346" 1 1 0 0 0 1
"347" 0 0 0 0 1 0
"348" 1 0 0 0 0 0
"349" 0 0 0 0 0 0
"350" 1 0 0 0 0 0
"351" 0 0 0 0 1 0
"352" 0 0 0 0 1 0
"353" 0 0 0 0 0 0
"354" 1 0 0 1 0 1
"355" 0 0 0 0 0 0
"356" 1 0 0 1 1 1
"357" 1 0 0 0 0 0
"358" 0 0 0 0 1 0
"359" 0 0 0 1 1 1
"360" 0 0 0 0 0 0
"361" 0 0 0 0 1 0
"362" 1 1 0 0 1 1
"363" 1 0 0 0 1 1
"364" 1 0 0 0 0 0
"365" 0 0 0 1 0 0
"366" 0 0 0 0 1 0
"367" 0 1 0 0 0 0
"368" 0 0 0 1 0 0
"369" 0 0 0 0 1 0
"370" 0 0 0 1 0 0
"371" 0 0 0 0 0 0
"372" 0 1 0 0 0 0
"373" 0 0 0 1 1 1
"374" 1 0 0 1 0 1
"375" 0 0 0 0 0 0
"376" 0 0 0 1 1 1
"377" 0 0 0 0 1 0
"378" 0 1 0 0 0 0
"379" 1 0 0 1 0 1
"380" 0 1 0 1 1 1
"381" 0 0 0 1 1 1
"382" 1 0 0 0 0 0
"383" 1 0 0 0 0 0
"384" 1 0 0 1 1 1
"385" 0 0 0 0 0 0
"386" 0 0 0 0 1 0
"387" 1 1 1 0 1 1
"388" 0 0 0 0 1 0
"389" 0 0 1 0 1 1
"390" 1 0 0 0 0 0
"391" 0 0 0 0 0 0
"392" 0 0 0 1 0 0
"393" 1 0 0 0 0 0
"394" 0 1 0 1 0 1
"395" 0 1 0 1 1 1
"396" 0 1 0 1 1 1
"397" 0 0 0 0 0 0
"398" 0 0 1 0 1 1
"399" 1 0 0 0 0 0
"400" 0 1 0 1 0 1
"401" 0 0 0 0 1 0
"402" 1 1 0 0 1 1
"403" 0 0 0 0 0 0
"404" 0 0 0 0 1 0
"405" 1 1 0 0 1 1
"406" 0 0 0 0 1 0
"407" 1 0 0 1 1 1
"408" 0 0 0 0 0 0
"409" 0 0 0 1 0 0
"410" 0 1 0 0 0 0
"411" 0 0 0 0 1 0
"412" 1 0 0 0 0 0
"413" 0 0 0 1 0 0
"414" 1 0 0 0 0 0
"415" 0 1 1 0 1 1
"416" 0 0 0 0 1 0
"417" 1 1 0 1 0 1
"418" 1 1 0 1 1 1
"419" 1 1 0 1 0 1
"420" 0 1 0 1 0 1
"421" 1 1 0 1 0 1
"422" 1 0 1 0 0 1
"423" 0 0 0 0 0 0
"424" 1 0 0 0 1 1
"425" 0 0 0 1 1 1
"426" 0 0 0 0 0 0
"427" 0 0 0 0 0 0
"428" 1 1 0 0 1 1
"429" 0 0 1 0 1 1
"430" 0 1 0 1 1 1
"431" 1 0 0 1 0 1
"432" 1 0 0 0 1 1
"433" 1 0 0 0 1 1
"434" 0 1 0 0 0 0
"435" 1 0 0 1 0 1
"436" 1 0 0 0 0 0
"437" 0 0 0 1 1 1
"438" 1 0 0 0 1 1
"439" 1 0 0 0 0 0
"440" 0 0 0 0 0 0
"441" 0 0 0 0 1 0
"442" 0 0 0 0 1 0
"443" 0 0 0 0 1 0
"444" 0 0 0 0 0 0
"445" 0 0 0 0 1 0
"446" 0 0 1 1 1 1
"447" 1 0 0 0 0 0
"448" 0 0 0 1 1 1
"449" 0 1 1 1 0 1
"450" 1 0 0 1 0 1
"451" 1 1 1 0 0 1
"452" 1 1 0 0 1 1
"453" 0 0 0 0 1 0
"454" 0 0 0 1 0 0
"455" 1 0 0 0 1 1
"456" 0 1 0 1 0 1
"457" 1 1 0 0 0 1
"458" 1 0 0 1 1 1
"459" 0 0 0 1 0 0
"460" 0 0 0 0 1 0
"461" 0 0 0 0 1 0
"462" 0 0 0 0 0 0
"463" 0 0 0 1 0 0
"464" 0 1 0 0 0 0
"465" 0 0 0 0 0 0
"466" 0 0 0 1 1 1
"467" 1 0 0 1 0 1
"468" 1 1 0 0 1 1
"469" 1 1 0 0 0 1
"470" 1 1 0 0 1 1
"471" 0 1 0 1 0 1
"472" 0 0 0 1 1 1
"473" 0 0 0 0 1 0
"474" 1 0 0 0 1 1
"475" 0 0 0 0 1 0
"476" 1 0 0 0 0 0
"477" 0 0 0 0 1 0
"478" 0 0 0 0 1 0
"479" 1 0 0 0 0 0
"480" 0 1 0 0 0 0
"481" 0 0 0 0 0 0
"482" 0 0 0 0 1 0
"483" 0 0 0 0 0 0
"484" 0 0 0 1 1 1
"485" 0 0 0 0 0 0
"486" 0 0 1 0 1 1
"487" 1 0 0 1 1 1
"488" 0 0 0 0 1 0
"489" 1 0 0 0 1 1
"490" 0 0 0 0 0 0
"491" 0 1 0 0 0 0
"492" 1 0 0 0 1 1
"493" 1 0 0 0 0 0
"494" 1 0 0 0 1 1
"495" 1 0 0 0 0 0
"496" 1 0 1 1 0 1
"497" 1 0 0 1 0 1
"498" 0 0 0 0 0 0
"499" 0 0 0 0 0 0
"500" 0 1 0 0 0 0
"501" 0 0 0 0 0 0
"502" 1 1 0 0 0 1
"503" 1 0 0 0 1 1
"504" 1 1 0 0 1 1
"505" 1 0 1 0 0 1
"506" 1 1 1 0 0 1
"507" 0 0 0 1 1 1
"508" 1 0 0 1 1 1
"509" 0 1 0 1 1 1
"510" 1 0 0 1 0 1
"511" 1 1 0 0 1 1
"512" 0 0 0 0 1 0
"513" 0 1 0 0 1 1
"514" 0 0 0 0 1 0
"515" 1 0 1 0 0 1
"516" 0 0 0 0 1 0
"517" 1 0 0 0 0 0
"518" 0 0 0 1 1 1
"519" 0 0 0 0 0 0
"520" 0 0 0 0 1 0
"521" 0 1 0 1 0 1
"522" 1 1 0 0 0 1
"523" 0 0 0 0 1 0
"524" 1 0 0 0 1 1
"525" 1 0 1 0 0 1
"526" 0 0 0 0 1 0
"527" 1 0 0 1 1 1
"528" 1 0 0 1 0 1
"529" 0 0 0 1 1 1
"530" 0 1 0 1 0 1
"531" 0 0 0 0 0 0
"532" 0 0 0 0 1 0
"533" 0 1 0 1 1 1
"534" 1 0 0 0 1 1
"535" 0 0 0 0 1 0
"536" 0 0 0 0 0 0
"537" 0 0 0 0 0 0
"538" 0 0 1 0 0 0
"539" 0 1 0 0 0 0
"540" 0 1 0 0 1 1
"541" 0 0 0 0 0 0
"542" 1 0 0 0 1 1
"543" 0 1 0 0 1 1
"544" 1 0 0 0 1 1
"545" 1 1 0 0 0 1
"546" 1 1 0 1 0 1
"547" 0 0 0 0 0 0
"548" 0 0 0 1 1 1
"549" 0 0 0 0 1 0
"550" 0 0 1 1 1 1
"551" 0 0 0 0 1 0
"552" 1 0 0 0 1 1
"553" 0 0 0 0 0 0
"554" 0 0 0 0 0 0
"555" 0 0 0 0 0 0
"556" 1 1 0 0 0 1
"557" 0 0 0 0 1 0
"558" 0 0 0 1 0 0
"559" 0 0 0 0 0 0
"560" 1 1 0 0 0 1
"561" 1 0 0 0 0 0
"562" 1 1 0 0 0 1
"563" 0 1 0 0 0 0
"564" 0 1 0 0 0 0
"565" 0 1 0 0 1 1
"566" 1 1 0 0 0 1
"567" 1 0 0 0 0 0
"568" 0 0 0 1 0 0
"569" 0 0 0 1 0 0
"570" 1 0 0 1 0 1
"571" 0 0 0 0 1 0
"572" 0 1 0 0 0 0
"573" 0 0 0 0 1 0
"574" 0 0 0 0 1 0
"575" 1 1 0 0 0 1
"576" 0 1 1 1 1 1
"577" 1 1 0 0 1 1
"578" 1 0 0 0 1 1
"579" 0 0 0 0 0 0
"580" 0 0 0 0 0 0
"581" 1 0 0 0 1 1
"582" 0 1 0 0 0 0
"583" 0 0 0 1 0 0
"584" 1 0 0 0 1 1
"585" 0 0 0 0 0 0
"586" 0 0 0 0 1 0
"587" 1 1 1 0 0 1
"588" 0 0 0 0 1 0
"589" 1 0 0 1 0 1
"590" 0 0 0 1 1 1
"591" 1 0 0 1 1 1
"592" 0 1 0 0 0 0
"593" 0 1 0 0 0 0
"594" 0 0 0 1 0 0
"595" 0 0 0 1 0 0
"596" 1 0 0 0 0 0
"597" 0 0 0 0 0 0
"598" 1 0 0 0 1 1
"599" 1 0 0 1 1 1
"600" 1 0 0 0 1 1
"601" 0 0 0 0 1 0
"602" 1 0 1 0 0 1
"603" 0 0 0 1 0 0
"604" 0 0 0 0 0 0
"605" 1 0 0 0 0 0
"606" 0 0 0 1 1 1
"607" 0 0 0 0 0 0
"608" 1 0 1 0 1 1
"609" 0 1 0 0 0 0
"610" 0 0 0 0 0 0
"611" 0 1 0 0 1 1
"612" 1 0 0 1 0 1
"613" 0 0 0 1 0 0
"614" 0 0 0 0 0 0
"615" 0 1 0 1 1 1
"616" 0 0 0 0 0 0
"617" 1 0 0 0 1 1
"618" 0 0 0 0 1 0
"619" 0 0 0 0 1 0
"620" 1 0 0 1 0 1
"621" 1 0 0 0 0 0
"622" 0 0 1 0 1 1
"623" 0 1 0 0 1 1
"624" 1 0 0 1 1 1
"625" 0 0 0 1 1 1
"626" 0 1 0 0 0 0
"627" 0 0 0 0 1 0
"628" 1 0 1 1 1 1
"629" 1 0 0 0 0 0
"630" 1 0 0 0 1 1
"631" 0 0 0 0 1 0
"632" 1 0 0 0 1 1
"633" 0 0 0 1 1 1
"634" 0 0 0 0 0 0
"635" 0 0 0 0 0 0
"636" 1 0 0 0 0 0
"637" 0 0 0 1 1 1
"638" 1 0 0 0 1 1
"639" 0 1 0 0 1 1
"640" 0 0 0 0 0 0
"641" 0 0 0 0 0 0
"642" 0 0 0 0 1 0
"643" 0 0 0 1 0 0
"644" 0 0 0 1 1 1
"645" 0 0 0 0 0 0
"646" 0 1 0 0 0 0
"647" 0 0 0 1 1 1
"648" 0 1 1 0 1 1
"649" 0 0 0 0 0 0
"650" 0 0 1 0 0 0
"651" 0 1 0 0 1 1
"652" 1 1 0 1 0 1
"653" 0 0 0 1 0 0
"654" 0 0 0 1 0 0
"655" 0 0 0 1 1 1
"656" 1 1 0 1 1 1
"657" 0 1 0 1 1 1
"658" 0 0 0 1 0 0
"659" 0 1 0 1 1 1
"660" 1 0 0 0 0 0
"661" 1 0 0 1 0 1
"662" 0 0 0 0 0 0
"663" 0 0 0 0 0 0
"664" 1 0 0 0 0 0
"665" 1 0 0 0 1 1
"666" 0 0 0 1 0 0
"667" 0 1 1 1 1 1
"668" 1 0 0 0 1 1
"669" 0 0 0 0 0 0
"670" 1 1 0 1 1 1
"671" 1 0 0 0 1 1
"672" 1 0 0 0 0 0
"673" 1 0 0 1 1 1
"674" 1 1 0 0 1 1
"675" 0 0 0 0 1 0
"676" 1 0 0 0 0 0
"677" 0 0 0 1 1 1
"678" 1 0 0 0 1 1
"679" 0 0 0 1 0 0
"680" 0 0 0 0 1 0
"681" 1 0 0 0 1 1
"682" 1 0 0 1 0 1
"683" 0 0 0 0 0 0
"684" 1 0 0 0 1 1
"685" 0 0 0 0 1 0
"686" 0 0 0 1 1 1
"687" 0 0 0 0 1 0
"688" 0 0 0 1 1 1
"689" 1 1 0 0 0 1
"690" 0 0 0 1 1 1
"691" 1 0 0 0 0 0
"692" 0 0 0 0 1 0
"693" 0 0 0 0 0 0
"694" 0 0 0 0 1 0
"695" 0 0 0 1 0 0
"696" 0 0 0 0 1 0
"697" 0 0 0 0 0 0
"698" 0 0 0 0 0 0
"699" 0 0 0 1 0 0
"700" 1 0 0 0 0 0
"701" 1 0 0 0 0 0
"702" 0 0 0 0 1 0
"703" 1 0 0 0 0 0
"704" 1 0 0 0 0 0
"705" 0 0 0 0 1 0
"706" 0 0 1 1 1 1
"707" 0 1 0 1 0 1
"708" 1 0 0 0 1 1
"709" 1 1 0 0 0 1
"710" 0 0 0 1 1 1
"711" 1 1 0 1 1 1
"712" 1 0 0 0 1 1
"713" 0 0 1 0 1 1
"714" 1 1 0 0 1 1
"715" 1 0 1 0 0 1
"716" 1 0 0 1 1 1
"717" 1 0 0 0 0 0
"718" 0 1 1 1 1 1
"719" 0 0 0 1 1 1
"720" 0 1 0 1 1 1
"721" 1 0 0 0 1 1
"722" 1 0 0 0 1 1
"723" 1 0 0 0 0 0
"724" 1 0 0 0 0 0
"725" 1 0 1 0 0 1
"726" 0 1 1 0 1 1
"727" 0 0 0 0 0 0
"728" 0 0 0 0 1 0
"729" 1 1 0 0 0 1
"730" 0 0 0 0 0 0
"731" 0 1 0 0 1 1
"732" 1 0 0 1 0 1
"733" 1 0 0 0 0 0
"734" 0 1 1 0 0 1
"735" 1 0 1 1 0 1
"736" 1 0 1 0 1 1
"737" 0 0 1 0 1 1
"738" 0 0 0 0 0 0
"739" 1 0 0 0 1 1
"740" 1 0 0 0 0 0
"741" 1 1 0 1 0 1
"742" 0 0 0 0 1 0
"743" 0 0 0 1 1 1
"744" 1 0 0 1 1 1
"745" 0 0 0 1 0 0
"746" 0 0 0 0 1 0
"747" 1 0 0 1 0 1
"748" 1 0 0 0 0 0
"749" 1 0 0 1 0 1
"750" 1 0 0 0 1 1
"751" 0 0 0 0 1 0
"752" 0 0 0 0 1 0
"753" 0 0 0 1 0 0
"754" 1 1 0 0 0 1
"755" 0 0 0 1 1 1
"756" 1 1 1 0 1 1
"757" 0 0 0 1 0 0
"758" 0 0 0 0 1 0
"759" 0 1 0 1 0 1
"760" 0 0 0 0 1 0
"761" 1 0 0 1 1 1
"762" 1 1 0 0 0 1
"763" 1 0 0 0 0 0
"764" 1 1 0 1 0 1
"765" 1 0 0 0 0 0
"766" 0 1 0 1 0 1
"767" 1 0 0 1 1 1
"768" 0 0 0 1 0 0
"769" 0 0 0 0 1 0
"770" 1 1 0 1 0 1
"771" 1 0 0 0 0 0
"772" 0 1 1 0 1 1
"773" 1 0 0 0 0 0
"774" 0 1 0 1 0 1
"775" 1 0 0 0 1 1
"776" 0 1 0 0 1 1
"777" 0 0 0 0 0 0
"778" 1 0 0 1 0 1
"779" 0 0 0 0 0 0
"780" 1 0 0 0 0 0
"781" 1 0 0 0 0 0
"782" 1 0 0 0 1 1
"783" 0 0 0 0 1 0
"784" 1 0 0 0 1 1
"785" 1 0 0 1 1 1
"786" 0 0 0 0 1 0
"787" 1 0 1 0 0 1
"788" 0 0 0 0 0 0
"789" 1 0 0 0 1 1
"790" 1 1 0 0 0 1
"791" 1 1 0 1 1 1
"792" 1 0 0 0 0 0
"793" 1 0 0 0 0 0
"794" 1 0 0 1 0 1
"795" 0 0 0 0 0 0
"796" 0 0 0 0 0 0
"797" 0 0 0 0 1 0
"798" 1 0 0 0 1 1
"799" 0 1 0 0 0 0
"800" 0 0 0 1 1 1
"801" 0 0 0 0 1 0
"802" 0 1 1 0 0 1
"803" 1 0 0 0 1 1
"804" 0 0 1 1 0 1
"805" 1 0 0 0 1 1
"806" 1 0 0 0 0 0
"807" 0 0 0 0 0 0
"808" 1 0 0 0 1 1
"809" 0 1 0 0 1 1
"810" 0 0 0 0 1 0
"811" 0 0 1 0 1 1
"812" 0 1 0 1 0 1
"813" 1 1 0 0 0 1
"814" 1 0 0 0 0 0
"815" 1 0 0 0 1 1
"816" 0 0 0 0 1 0
"817" 0 0 1 0 0 0
"818" 0 0 0 0 1 0
"819" 1 0 0 0 0 0
"820" 0 0 0 0 1 0
"821" 1 0 0 0 1 1
"822" 0 0 0 1 1 1
"823" 1 0 0 0 0 0
"824" 0 0 0 1 0 0
"825" 1 1 0 0 1 1
"826" 0 0 0 0 1 0
"827" 0 1 0 0 0 0
"828" 1 0 0 0 0 0
"829" 0 0 0 1 0 0
"830" 1 1 1 0 0 1
"831" 0 0 0 1 1 1
"832" 0 0 1 1 1 1
"833" 1 0 0 1 0 1
"834" 1 0 0 1 1 1
"835" 0 0 0 0 1 0
"836" 0 0 0 0 1 0
"837" 1 0 0 0 0 0
"838" 1 1 0 1 1 1
"839" 0 0 0 0 1 0
"840" 0 0 0 1 1 1
"841" 0 0 0 0 0 0
"842" 1 0 1 0 0 1
"843" 1 0 0 0 1 1
"844" 1 1 0 1 1 1
"845" 0 1 0 0 0 0
"846" 0 0 0 1 1 1
"847" 0 0 0 1 1 1
"848" 1 0 0 0 1 1
"849" 0 0 0 1 1 1
"850" 0 0 1 0 0 0
"851" 1 1 0 1 1 1
"852" 0 0 0 0 0 0
"853" 0 0 0 1 1 1
"854" 0 1 0 0 0 0
"855" 0 0 0 0 1 0
"856" 1 0 0 0 0 0
"857" 0 1 0 0 1 1
"858" 0 1 1 0 0 1
"859" 0 0 1 1 0 1
"860" 1 1 0 0 1 1
"861" 0 1 0 0 0 0
"862" 0 0 1 0 1 1
"863" 0 0 0 1 1 1
"864" 0 0 0 0 1 0
"865" 1 0 0 0 0 0
"866" 0 0 0 0 1 0
"867" 0 0 0 1 1 1
"868" 1 0 1 0 1 1
"869" 1 1 1 0 1 1
"870" 0 0 0 0 1 0
"871" 0 0 1 0 1 1
